id,truncated,Open AI Classfier,GPT Zero (perplexity),GPT Zero (burstiness),DetectGPT (z score),GPT Zero,DetectGPT,Label
42205473,"is a Scottish football manager and former player who is the current manager of Scottish Premiership club Aberdeen.

Gordon began his playing career with Dundee United in 1984, before moving to Manchester City in 1987. He spent five years at the club, winning the FA Cup in 1992 and the League Cup in 1993. He then joined Reading, where he won the FA Cup in 1996. Gordon moved to Bolton Wanderers in 1998, and spent three years at the club before retiring in 2001.

He began his managerial career as assistant manager at Bolton Wanderers in 2002, before taking over as manager of Hartlepool United in 2003. He led Hartlepool to promotion to League Two in his first season in charge, and was appointed manager of Portsmouth in 2006. He led Portsmouth to promotion to the Championship in his first season in charge, but resigned after two seasons in charge due to personal reasons. Gordon then returned to Scotland, taking over as manager of Aberdeen in 2009. He led Aberdeen to two Scottish League Cup titles and a Scottish Premiership title during his tenure at the club, and was named Manager of the Year twice. Gordon left Aberdeen after guiding them to their fourth consecutive Scottish Premiership title in May 2016. 

William Robert Gordon was born on 7 August 1965 in Dundee, Scotland. He began his playing career with Dundee United in 1984 before moving to Manchester City later that year. Gordon spent five years at City, winning the FA Cup in",3,31.929,46.801,1.495,1,1,1
33090109,"security device that allows investors to reduce the amount of loss they may experience in the event of a currency devaluation. The device, which was first introduced in the early 1980s, consists of a pool of liquid assets that serve as collateral against a debt instrument. The debt instrument is typically a loan or bond issued by a company with a fractional currency shield.

The fractional currency shield has been used by companies as a means of reducing their exposure to currency risk. The devices have also been used by investors as a way to reduce their overall risk profile. Investors use fractional currency shields to protect themselves from potential losses in the event of a currency devaluation. The devices allow investors to reduce the amount of loss they may experience in the event of a currency devaluation. 

In order for a company to issue a fractional currency shield, it must first secure the approval of its regulators. Once approved, the company will create a pool of liquid assets that serve as collateral against its debt instruments. The debt instruments typically include loans or bonds issued by the company. 

The fractional currency shield has been used by companies as a means of reducing their exposure to currency risk. The devices have also been used by investors as a way to reduce their overall risk profile. Investors use fractional currency shields to protect themselves from potential losses in the event of a currency devaluation. 

Fractional currency shields have been successful in mitigating",4,69.357,125.788,0.755,1,1,1
54223579,"problem in the Gaza Strip, caused by the Israeli military's ongoing closure of the Gaza Strip and its severe restrictions on the movement of people and goods into and out of the territory. As a result of the electricity crisis, approximately 80% of the Gaza Strip's population relies on generators for their primary source of power.

The Gaza electricity crisis began in 2007, when Israel began to restrict the movement of people and goods into and out of Gaza. As a result, approximately 80% of the Gaza Strip's population relies on generators for their primary source of power. The Israeli military has continued to restrict access to fuel and tools necessary to maintain generators, exacerbating the crisis. The closure has also caused a decline in the quality of generators, as well as an increase in the number of breakdowns.

The Israeli military has responded to the electricity crisis by opening tunnels into Gaza to provide fuel and goods, but this has been insufficient to overcome the underlying problems. The Israeli military has also agreed to allow reconstruction materials into Gaza, but this has not yet been sufficient to address the underlying causes of the crisis.

The Gazan economy has been severely damaged by the electricity crisis, as many businesses have closed down because they cannot operate without reliable power supplies. The Israeli military has also prevented reconstruction materials from entering Gaza, exacerbating the humanitarian situation.

The Gaza electricity crisis is an ongoing problem in the Gaza Strip that is caused by restrictions on movement",3,26.455,15.591,1.34,1,1,1
2395331,"regular season of the National Football League. The season began on Sunday, September 10, 1986 and ended on Sunday, December 24. The playoffs began on Saturday, December 30 and ended with the Super Bowl on Sunday, January 1, 1987.

The 1986 NFL season was a watershed year for professional football as the league expanded to 32 teams with the addition of the Houston Oilers. The season also marked the debut of two new franchises: the Tampa Bay Buccaneers and Arizona Cardinals. The season was also notable for the return of two former AFL teams, the Baltimore Colts and San Diego Chargers.

The 1986 NFL Season was also notable for a number of high-profile incidents. On October 25, Philadelphia Eagles running back Brian Westbrook became the first player in NFL history to gain over 1,000 yards from scrimmage in each of his first four seasons. On November 15, Dallas Cowboys wide receiver Michael Irvin was suspended for nine games for violating the league's drug policy; Irvin would later say that he had used marijuana only once. On December 16, Detroit Lions linebacker Derrick Thomas became the first player in NFL history to be awarded five consecutive Pro Bowl selections. 

The 1986 NFL season saw a number of new records set or broken. The Dallas Cowboys became the first team in NFL history to win 50 games in a row; they also set an NFL record with their sixth consecutive division championship. The New England Patriots set an NFL record by winning their fifteenth",3,24.462,15.371,2.034,1,1,1
40948,"discipline that deals with the effective management of systems and their components. CM encompasses the activities involved in planning, implementing, monitoring, and maintaining systems.

Configuration management is a systems engineering discipline that deals with the effective management of systems and their components. CM encompasses the activities involved in planning, implementing, monitoring, and maintaining systems. CM helps ensure that the systems are configured to meet the needs of their intended users and are operated effectively. Configuration management provides a framework for integrating changes into a system, tracking changes, and managing risks.

Configuration management is used in a variety of industries, including aviation, banking and finance, defense, electronic commerce, healthcare, and manufacturing. Organizations using configuration management typically have a more successful track record than those who do not. There are several reasons for this: configuration management creates an ordered environment where changes can be tested before they are implemented into production; it facilitates collaboration among team members as changes are made; it provides transparency into the status of a system so that all stakeholders can understand how it works; and it helps prevent errors from creeping into production.

There are several different types of configuration management tools available to organizations. Some of these tools include: 

The goal of configuration management is to provide an ordered environment where changes can be tested before they are implemented into production. This is done by establishing a baseline or reference configuration for a system and tracking all changes to it. Changes can then be tested before they are implemented",4,44.143,25.985,1.551,1,1,1
298804,"card that can be used to purchase goods and services. The cards are similar to a traditional debit or credit card, but instead of being linked directly to a bank account, the funds are stored on the card itself. This allows the card to be used as a form of cash.

SVCs have been in use for over a decade and are growing in popularity as a way to reduce checkout time and avoid long lines at stores. They are also becoming more common as a form of payment for online transactions. Some benefits of SVCs include the ability to carry larger amounts of cash without having to carry around multiple currencies, the ability to purchase goods and services without revealing personal information, and the ease of transferring funds between different accounts.

There are several different types of SVCs available, including reloadable cards, gift cards, and prepaid cards. Reloadable cards are typically the most popular type of SVC because they allow users to reload the card with new funds any time they want. This makes them ideal for use as a form of cash or for making small purchases that would not be worth spending full cash on. Gift cards can also be reloaded, but typically cannot be used to make purchases outside of the store where they were purchased. Prepaid cards are usually less popular than reloadable or gift cards because they do not allow users to reload the card with new funds, but they are popular among people who want",4,24.818,8.376,1.942,1,1,1
50924560,"is a cognitive process that maintains an individual’s belief in the validity of a concept despite contradictory evidence.

The concept of belief perseverance has been studied extensively by psychologists, and it has been found to play an important role in the maintenance of beliefs, particularly in the face of contradictory evidence. Belief perseverance is believed to be responsible for the apparent stability of beliefs over time, as well as the tendency of individuals to resist changes in their beliefs even when there is clear evidence to the contrary.

Belief perseverance can take several different forms. One form is called cognitive dissonance, which involves the cognitive process of reconciling two conflicting beliefs. Cognitive dissonance occurs when a person holds two opposing beliefs that are not logically compatible, and it is believed to be a motivating factor behind the maintenance of beliefs. Another form of belief perseverance is called semantic anchoring, which refers to the tendency of people to rely too heavily on initial information when making decisions. Semantic anchoring occurs when people rely too heavily on initial information when forming judgments about new information, and it can be a powerful tool for maintaining beliefs.

Despite its importance, belief perseverance has been found to be vulnerable to a number of different forms of attack. One form of attack is called cognitive bias reversal, which refers to the tendency for individuals to disregard or discount information that contradicts their current beliefs. Cognitive bias reversal can occur when individuals become so entrenched in their beliefs that they",4,47.909,38.94,0.815,1,1,1
24547557,"and pro-participatory approach to public policymaking. It is premised on the belief that democratic processes and citizen participation are the key to effective public administration. New Public Administration aims to increase transparency, accountability, and responsiveness of public institutions to citizens.

New Public Administration emerged in the early 1980s as a response to the problems encountered by public administrations during the 1970s. The emergence of new technology, such as computers and telecommunications, had led to increased complexity and chaos in public sectors across the world. This had created a need for new approaches to public administration that could help to restore order and improve efficiency in public sectors.

New Public Administration is based on the belief that democracy is the best way to run public institutions. This means that politicians and bureaucrats should be accountable to the people who elected them, and not to corporate or bureaucratic interests. New Public Administration also stresses the importance of participatory democracy, or democracy where citizens are involved in decisions about their own lives. This participatory approach aims to create a more responsive and transparent government that is able to meet the needs of citizens effectively.

New Public Administration has been successful in restoring order and improving efficiency in public sectors across the world. In some cases, it has even led to the creation of new democratic institutions that are able to meet the needs of citizens more effectively than before. However, New Public Administration has also been criticised for its lack of technical expertise, and its tendency",4,36.846,28.647,1.21,1,1,1
42478813,"approach that emphasizes the role of the learner in their own learning. It rejects traditional models of instruction, which are based on the assumption that the teacher knows best. Authentic learning instead emphasizes the importance of individualization, creativity, and autonomy in learning.

Authentic learning has been shown to be more effective than traditional instruction methods in a variety of settings. It has been shown to be more effective in helping students develop critical thinking skills, to learn new information more effectively, and to increase their understanding of complex topics.

There are a number of reasons why authentic learning is more effective than traditional instruction methods. First, authentic learning is based on the assumption that the learner is responsible for their own learning. This means that students are given responsibility for their own progress and are encouraged to explore new ideas and concepts on their own. This type of approach helps students develop a sense of self-confidence and independence.

Second, authentic learning is based on the idea that knowledge can be learned in a variety of ways. Instead of privileging one type of instruction over another, authentic learning allows students to choose which method works best for them. This allows students to learn in a way that is most comfortable for them and allows them to retain information more effectively.

Finally, authentic learning is based on the idea that education should be interactive and engaging. Students are encouraged to ask questions and participate in class discussions. This type of approach helps students learn by doing",4,29.467,23.82,1.599,1,1,1
56314,"law that allow a person or company to maintain an action or claim without actually paying any money to the plaintiff. The doctrines are based on the principle that it is in the public interest for someone to maintain an action, especially if the plaintiff cannot afford to pay for it themselves.

The doctrine of maintenance can be traced back to English common law. Under the doctrine of trover, a plaintiff could keep an action alive by demanding that the defendant pay damages even if they had not personally acquired anything wrongfully. This allowed plaintiffs to ensure that defendants were made to pay for any losses they may have caused, even if they had not actually obtained anything themselves. The maintenance doctrine was later extended to allow defendants to keep an action alive by providing financial support to the plaintiff. This doctrine is known as champerty, and it is based on the principle that it is in the public interest for someone to maintain an action, especially if the plaintiff cannot afford to pay for it themselves.

The maintenance doctrine can be used in a number of different ways. Sometimes, defendants will provide financial support to plaintiffs so that they can continue with their lawsuit. Other times, defendants will act as co-plaintiffs in the lawsuit, helping to pursue their claims on behalf of the plaintiff. In either case, the main goal of maintenance is to ensure that justice is served by allowing defendants to continue with their cases even if they do",4,35.545,18.822,1.063,1,1,1
678924,"act of manipulating the results of a match or matches in order to achieve a desired outcome. This can involve arranging between players to lose or concede matches in order to benefit someone else, or offering bribes or other incentives to referees or other officials in order to influence the outcome of a match.

There are many forms of match fixing, but the most common is when one team agrees to lose a match in return for financial compensation from the other team. This can be done for a variety of reasons, such as to gain an advantage in the tournament standings, to avoid relegation from a league, or simply to make money. In some cases, teams may also collude to fix matches in order to gain an advantage over their opponents.

Match fixing has been a problem in organized sports for decades and has led to several high-profile scandals. In 1994, prominent American basketball player Dennis Rodman was caught colluding with a team of professional gamblers to fix games. In 2000, South African cricket captain Hansie Cronje was found guilty of match fixing and sentenced to jail time. In 2004, several members of the Italian football team AC Milan were found guilty of accepting bribes from betting syndicates in order to fix matches. In 2007, English football manager Alan Pardew was accused of arranging a match between Charlton Athletic and Reading in order to lose so that his team could qualify for the Champions League.

Despite the prevalence of match fixing, it",2,39.818,47.904,1.816,1,1,1
962908,"systems (IS), change control is a process that helps ensure that changes to a system are made in a controlled and safe manner.

Change control is a process that helps ensure that changes to a system are made in a controlled and safe manner. It is often used in conjunction with other quality management systems tools, such as product specification, test management, and process improvement. The purpose of change control is to ensure that the changes made to a system result in improvements to the quality of the product or service.

There are several aspects to change control, including planning, staging, controlling, monitoring, and reporting. The process of change control should be tailored to the specific type of system being modified. For example, change control procedures for a software application might be different than those for a manufacturing plant.

Planning is essential to the success of change control. The plan should identify the changes being made to the system, their objectives, and the resources required to make them. Staging is another important part of the process. It determines where the changes will be made and how they will be tested before they are implemented into the system. Controlling ensures that all changes are made in a controlled and safe manner. Monitoring ensures that all changes are executed as planned and that any adverse effects on the system are detected and corrected. Reporting provides documentation of the progress of the change control process and any problems encountered along the way.

If done correctly, change control",4,64.467,103.745,1.117,1,1,1
1501968,"a company makes its financial information available to the public. This can include information on the company's annual reports, shareholder meetings, SEC filings, and corporate websites.

The practice of corporate transparency has become more important in recent years as investors have become increasingly interested in knowing how companies are run and what their profits are. This transparency allows investors to track a company's performance and make informed decisions about whether to invest in it or not.

There are a number of reasons why companies might choose to be transparent. Some may feel that it is important to maintain a good relationship with their shareholders, while others may believe that it is beneficial to allow the public to monitor the company's activities. Whatever the reason, being transparent is generally seen as a positive thing by investors and the public alike.

There are a number of factors that can influence corporate transparency. These include the country in which the company is located, the type of company it is, and the political climate. Certain countries, for example, are more open than others when it comes to reporting financial information.

The benefits of corporate transparency have been well documented by researchers. One study found that corporate transparency had a positive effect on stock prices and was associated with lower levels of corruption. Other studies have shown that greater levels of transparency lead to improvements in corporate governance and compliance with laws, as well as higher levels of customer satisfaction.

There are some drawbacks to corporate transparency, of course. Some",4,67.2,169.866,1.635,1,1,1
13966426,"of norms and principles which formed the basis of government in the Roman Republic and later the Roman Empire. It was initially established in 509 BC, but not fully implemented until the end of the Republic in 27 BC. The Roman Constitution was largely unwritten and thus evolved over time. It was not until the early years of the Empire that the Constitution was fully developed, by the time of Julius Caesar's assassination in 44 BC, it had undergone several major changes.

The Constitution of the Roman Republic was a set of guidelines and principles by which Rome's government functioned. It was first established in 509 BC, although it did not become fully implemented until 27 BC. The Constitution evolved over time, but remained largely unwritten until the early years of the Empire. The Roman Republic was eventually replaced by the Roman Empire.

The Roman Constitution was based on two principles: the principle of representative government and the principle of separation of powers. The representatives were chosen by lot from the citizenry, and they were responsible to meet regularly to discuss and vote on proposed laws. The executive power was vested in two consuls, who were elected for one year at a time. The Senate was a more powerful body, made up of wealthy landowners and businessmen who could vote on proposed laws. The consuls could veto these laws, but they could also be overruled by a vote from the Senate.

The principle of separation of powers protected individual citizens from being oppressed",2,44.929,36.405,1.197,1,1,1
8856882,"video game developed and published by Capcom for the Nintendo DS. It is the ninth entry in the Mega Man series, and the first game in the series to be developed for a handheld platform.

The game takes place after the events of Mega Man 8 and follows the further adventures of protagonist Mega Man as he battles a new set of Robot Masters and their malicious plans. The game features a variety of new abilities for Mega Man, as well as several returning characters from previous games.

Development on Mega Man 9 began shortly after the release of Mega Man 8, with Capcom aiming to improve upon the gameplay systems introduced in that game. The team also took advantage of the then-new Nintendo DS hardware to create a visually more advanced game than any previous entry in the series. The game was met with generally positive reviews from critics, who praised its innovative gameplay mechanics and visuals. It has since been considered one of Capcom's strongest entries in the franchise.

Mega Man 9 is an action-platform video game, played from a third-person perspective. The player controls Mega Man as he progresses through levels, defeating enemies and rescuing hostages to progress to the next area. In addition to traditional swordplay and energy blasts, Mega Man can now wall jump and use his arm cannons to fire homing missiles. Each Robot Master has its own unique abilities; for example, Rush can travel through walls and slide under obstacles, while Frost can generate ice crystals",2,31.083,17.901,1.698,1,1,1
49438140,"to live and work in Russia. The Russian Federation has been a popular destination for immigrants since the late 19th century. The country has a rich history and culture, as well as a large population and varied landscape. The Russian Federation is home to over 150 ethnic groups and millions of immigrants from around the world.

The Russian Federation is one of the world's most populous countries with over 143 million people as of 2015. The country's population is highly diverse, with over 150 ethnic groups and over 120 languages spoken in Russia. Immigrants make up a large proportion of Russia's population, with over 30% of the population being foreign-born according to the Russian Census of 2010. This makes Russia one of the most immigration-diverse countries in the world.

Foreign citizens seeking to live and work in Russia must meet certain requirements and undergo a process known as visa facilitation. In order to be granted a visa, applicants must demonstrate that they have a valid reason for wanting to enter Russia and that they will not be a burden on society or taxpayers. Applicants must also meet Russian health and safety standards, which are generally higher than those required for entry into most other countries.

Immigration to Russia has been increasing in recent years, as the country has become more popular as a destination for foreign workers. The Russian Federation is currently experiencing a demographic crisis due to low birth rates and an ageing population, which has led to increased demand for labour",1,19,11.431,1.473,1,1,1
3297512,"refers to a strong tendency for individuals to use the same or similar functions for similar objects or situations.

Functional fixedness can be seen as a type of cognitive bias, which is a tendency that can lead to inaccurate judgments. Individuals with functional fixedness tend to rely on the same or similar functions for similar objects or situations, which can lead to problems when trying to understand new information. This cognitive bias can be a barrier to learning and can lead to errors in judgment.

Functional fixedness can be seen as a form of cognitive rigidity, which is a type of cognitive bias that refers to a strong reluctance to change habits or behaviors. Individuals with functional fixedness tend to be resistant to change and may be less likely to try new methods when problem solving. This resistance to change can lead to problems in the workplace and in other areas of life where flexibility and innovation are important.

Functional fixedness can occur for a number of reasons. One reason is that people may have difficulty processing new information when it does not involve the use of the same function for similar objects or situations. Another reason is that people may become reliant on the function for understanding new information, which can make it difficult to process new information. Finally, functional fixedness can be due to prior experience or education, which can lead people to use the same functions for similar situations.

Functional fixedness has been found to be a Barrier To Learning In",4,64.417,90.471,1.349,1,1,1
33208161,"monument in the city of Nazareth in the Northern district of Israel. It is composed of a series of limestone blocks that were used in the construction of a tower in the first century CE, and it is one of the best-preserved ancient towers in the Middle East.

The tower was first discovered by local farmers in 1881, and it was later excavated by a team from the University of Pennsylvania between 1924 and 1928. The site was declared a National Monument by the Israeli government in 1953, and it has been managed by the Nazareth Foundation since 1971. The tower is situated on an isolated hill overlooking the city, and it is surrounded by a fortified wall.

The Israelite Tower is composed of a series of limestone blocks that were used in the construction of a tower in the first century CE. The blocks are arranged in an elaborate pattern, and they measure between tall and wide. The tower was built on an artificial platform that measures between wide and long, and it is surrounded by a fortified wall.

The tower was first discovered by local farmers in 1881, and it was later excavated by a team from the University of Pennsylvania between 1924 and 1928. The site was declared a National Monument by the Israeli government in 1953, and it has been managed by the Nazareth Foundation since 1971. The tower is situated on an isolated hill overlooking the city, and it is surrounded by a fortified wall.

The tower has been",4,102.917,261.785,0.445,1,0,1
44379481,"to describe a type of social and political theory and practice that advocates the establishment of a society in which all people would be equal and live in happiness and harmony.

Utopian socialism is a type of social and political theory and practice that advocates the establishment of a society in which all people would be equal and live in happiness and harmony. The term was first used in the early 19th century to describe societies that were based on the principles of equality, fraternity, and liberty. Utopian socialists often envisioned an egalitarian society in which all people would share in common the fruits of their labor. They believed that through the development of democratic institutions, society could be transformed into a paradise where humans could live in peace and harmony.

The utopian socialists were not the only ones to advance this idea. Many philosophers, including Plato, Aristotle, Thomas More, and Jean-Jacques Rousseau, had also argued for the need for a society based on principles of justice and equality. However, it was the utopian socialists who developed this idea into a coherent theory. They believed that through the implementation of democratic institutions, society could be transformed into a utopia where humans could live in peace and harmony.

Utopian socialism never completely took hold in Europe or North America. However, it did play an important role in the development of modern socialism. The utopian socialists were responsible for introducing the concept of socialism as a way of achieving social justice. They also helped to",4,83,212.126,0.903,1,1,1
30042923,"– July 3, 1944) was an American football and basketball player, coach, and general manager in the National Football League (NFL). He served as the head football coach at the University of Washington (1924), the University of Oregon (1925), and the United States Naval Academy (1927–1930), compiling a career college football record of 62–14–5. Graham was also the head basketball coach at Oregon from 1925 to 1930, tallying a mark of 137–57.

Graham was drafted by the Canton Bulldogs of the NFL in the first round (fourth overall) of the 1912 NFL Draft. He played for the Bulldogs and Cleveland Indians (now the Baltimore Ravens) over eight seasons, helping Canton win three NFL championships in 1915, 1917, and 1920. He retired as a player after the 1921 season.

In 1922, Graham became the general manager and head coach of the Bulldogs. He led Canton to another NFL championship in 1924. After two more seasons as head coach of Canton, he left to become coach and general manager of the Portland Pirates in 1926. In his two seasons with Portland, he compiled a record of 15–7–1.",2,53.7,40.18581772,0.099137,0,1,1
24018130,"Muslim public policy analyst and commentator. She is the Senior Fellow at the Institute for Social Policy and Understanding (ISPU) and the co-founder of DMGI Consulting.

Mogahed was born in 1975 in Beirut, Lebanon to a Lebanese mother and a Palestinian father. She moved to the United States with her family in 1982, when she was six years old. Mogahed attended the University of California, Berkeley, where she earned a degree in political science in 1998.

Mogahed began her career as a research associate at The Brookings Institution, where she worked on projects related to Muslim women's political participation, education, and health. In 2002, she founded DMGI Consulting, a public policy consulting firm that specializes in Muslim-American affairs.

Mogahed has written and spoken extensively on issues related to Muslims in America and the Islamic world. She is the author of ""The Muslim Americans: A History"" (2008), ""Beyond Fundamentalism: The Future of Islam"" (2007), ""The New Global Muslims: Identity, Religion, and Politics"" (2006), ""The Islamist Threat: How Radical Islam is Destroying the World We Know"" (2005), ""The Islamists:",2,31.55555556,33.4070015,0.621781,1,0,1
11484739,"a notable leader of the Indian National Congress. He was also a writer and a poet.

Bhogilal Pandya was born on 11 December 1897 in the town of Sangli in the Kolhapur district of Maharashtra. He was the son of Sakharam Pandya and Saraswati Devi. He attended the University of Bombay, where he began his political career as a student leader.

In 1917, Pandya became the secretary of the students' association at the University of Bombay. Two years later, he joined the Indian National Congress, and soon became one of its most influential members. In 1921, he was elected to the Bombay Legislative Assembly as a member of the Congress party.

In 1923, Pandya left India to take part in the French Revolution. He spent five years in France, during which time he became involved in radical politics and joined the Communist Party of France. In 1930, he returned to India and resumed his political career.

Pandya played an important role in the independence movement in India. In 1931, he was elected president of the Congress party, and in 1934 he was elected to the Rajya Sabha (the upper house of India's parliament). In",3,24.42857143,16.73188782,0.679883,1,0,1
69500874,"who represented New Zealand in the sport. She played for the Northern Mystics from 1998 to 2004, and was a member of the Silver Ferns team that won the World Netball Championships in 2002. Gold also played for the Waikato Bay of Plenty Magic in the National Netball League.

Gold started playing netball as a junior at North Shore Girls' High School, and represented her country at Under-19 and Under-21 levels. She made her senior debut for Northern Mystics in 1998, and went on to play 133 games for the team over six seasons. Gold was part of the Northern Mystics side that finished second in the National Netball League (NNL) in 2001 and 2002, and was also named in the NNL All Star team both years.

Gold made her international debut for New Zealand in 2001, and went on to represent her country at three World Netball Championships (2002, 2003, 2004). At the 2002 World Championship in England, Gold helped New Zealand to a silver medal, and she was also named player of the tournament. The following year, Gold helped New Zealand to victory at the World Netball Championships in Australia, becoming only the second player ever to",4,40.55555556,35.69352722,0.294454,0,0,1
61603082,"October 30, 1986) is an American actress, singer, and model. Hanson is known for her role as Alex Dunphy on the Fox sitcom Modern Family and for her lead voice role as Mia in the animated series Phineas and Ferb.

Hanson was born in Thousand Oaks, California, to Barbara (née Orlandos), an administrative assistant and homemaker, and Gilbert Hanson, a real estate broker. She has two sisters, Stacey (born c. 1977) and Jill (born c. 1980). Hanson's family is of Lebanese descent. She attended Thousand Oaks High School, where she was a member of the drama club and choir.

After graduating from high school in 2004, Hanson studied at New York University's Tisch School of the Arts, but did not complete her degree. In 2006, she moved to Los Angeles to pursue an acting career. 

Hanson made her acting debut in an episode of the WB series ""Gilmore Girls"" in 2006. That year she also appeared in the films ""The House Bunny"" and ""Death Sentence"". In 2007 she had a supporting role in ""The Omen III"".

In 2008, Hanson landed",1,106.6666667,254.7302856,0.264951,1,0,1
458437,"New York Harbor, located in the borough of Manhattan. The island is administered as part of the New York City borough of Manhattan. The island has a land area of 10.184 acres (4.096 ha), and a total area of 12.596 acres (5.878 ha).

Governors Island was acquired by the City of New York in 1898 from the private owners, who had acquired it in 1785 as a private hunting ground. The island was used as a military reservation during the American Revolutionary War, and later served as a quarantine station for ship passengers arriving from European ports. In 1898, it became part of the newly created City of New York. Since the late 20th century, Governors Island has been used as an athletic training ground by the New York Mets and New York Giants.

The first European to explore the island was Henry Hudson in 1609, who named it ""Island of Horses"". The Dutch claimed it in 1624 and renamed it ""Nieuw Amsterdam"". In 1664, King Charles II granted the island to Sir Edmund Andros, governor of New Netherland; Andros later bequeathed it to his son-in-law, Peter",2,32.6,20.90826607,0.060372,1,1,1
63045415,"studio album by American rapper Meek Mill. It was released on November 30, 2012, by Maybach Music Group, Atlantic Records and Republic Records. The album was preceded by the single ""In My Feelings"", which peaked at number one on the US Billboard Hot 100.

The album debuted at number one on the US Billboard 200 chart with first-week sales of 191,000 copies. As of September 2019, the album has sold 1.1 million copies in the United States.

The album has been met with generally positive reviews from music critics. At Metacritic, which assigns a normalized rating out of 100 to reviews from mainstream critics, the album has received an average score of 74, based on 12 reviews.

""A Written Testimony"" is the debut studio album by American rapper Meek Mill. It was released on November 30, 2012, by Maybach Music Group, Atlantic Records and Republic Records. The album was preceded by the single ""In My Feelings"", which peaked at number one on the US Billboard Hot 100.

The album debuted at number one on the US Billboard 200 chart with first-week sales of 191,000 copies. As of September 2019,",3,30.08333333,25.55371666,0.67185,1,0,1
7083875,"-born mathematician and philosopher who has written on topics such as mathematics, logic, philosophy of mathematics, and the philosophy of science.

Aksoy was born in 1939 in İstanbul, Turkey. He received his undergraduate degree in Mathematics from the University of Illinois at Urbana-Champaign in 1961 and his PhD in Mathematics from the University of California, Berkeley, in 1966.

He has been a professor at the University of California at Berkeley since 1967, where he is now Emeritus Professor. He has also been a visiting professor at the Ecole Normale Superieure (Paris), the University of Edinburgh (UK), the University of Michigan (US), the University of Vienna (Austria), and the Hebrew University of Jerusalem (Israel).

Aksoy's research has been in various areas of mathematics, including logic, set theory, functional analysis, probability theory, and statistics. He is particularly noted for his work on mathematical models of scientific theories and for his contributions to philosophical issues concerning mathematics and science.

He has written numerous books and articles on these topics, including: 

""Foundations of Logic"" (1981)
""Mathematical Models of Scientific",2,39.4,42.66197968,0.360715,0,0,1
2428938,"the development and function of cells. It is the movement of cells from their birthplace, the cell division zone, towards their final destination. 

Cell migration is a critical process in the development of cells. Cells migrate in order to find new places to divide and grow, and to find new surfaces on which to attach themselves. Migration can also help cells find new sources of nutrients and oxygen. Cells can migrate in a number of different ways, depending on the type of cell and the location where it is located.

Migration can be subdivided into two main categories: direct migration and indirect migration. Direct migration involves the movement of cells directly from one location to another. Indirect migration happens when cells move between different areas within a same organism or between different organisms.

Direct migration involves the movement of cells from one location to another. Direct migration can be subdivided into two main categories: chemotaxis and motility. Chemotaxis occurs when cells use chemicals to direct their movement; motility occurs when cells move by using physical forces, such as muscle contractions or waves. 

Chemotaxis occurs when cells use chemicals to direct their movement; motility occurs when cells move by using",4,43.38461538,26.40561295,0.28513,1,0,1
18588593,"born 30 October 1944) is a Ukrainian football coach and former player who is the manager of FC Shakhtar Donetsk.

Andriy Biba was born in the town of Sievierodonetsk, Donetsk Oblast, in 1944. He started playing football with local club FC Sievierodonetsk before moving to Ukrainian giants Shakhtar Donetsk in 1963.

Biba was part of the Shakhtar Donetsk side that won the European Cup in 1976, and also played for the Soviet Union national team. He retired from playing in 1981, after which he became a coach.

Biba has spent most of his coaching career with Shakhtar Donetsk, where he served as both a player and coach between 1976 and 1981. He then moved to FC Lviv and served as their coach until 1986. He then returned to Shakhtar Donetsk as their assistant coach.

In 1988, Biba was appointed head coach of the Ukrainian national team, but he only lasted one year in the role before being replaced by Oleksandr Lebedev. He then served as assistant coach to Lebedev until 1991, when he was appointed head coach of the Ukraine national team. However, he only lasted two months in",4,40.90909091,26.05553436,0.261359,0,0,1
12319981,"is an organization in which the members, or members-at-large, are also the beneficiaries. The corporation is organized to promote the common good of its members and to accomplish its objectives through the pooled resources of its members.

Mutual-benefit nonprofit corporations were first developed in the United States in the early 1900s as a way to provide social welfare benefits to their members without having to rely on government funding. Today, mutual-benefit nonprofit corporations are used throughout the world to promote a variety of social and environmental goals.

The benefits of forming a mutual-benefit nonprofit corporation include: 

1) Increased flexibility and efficiency: A mutual-benefit nonprofit corporation can be more flexible and efficient than traditional organizations because it is composed of individual members who are also the beneficiaries. This structure allows for a more decentralized approach to problem solving and greater involvement by members in corporate decision making.

2) Increased community participation: Because members are also beneficiaries, mutual-benefit nonprofit corporations encourage community participation by providing opportunities for members to get involved in corporate activities and receive benefits from those activities. This type of participation can create a sense of ownership and involvement in the corporation that is difficult to achieve through traditional forms of",3,41.33333333,29.12043953,0.14025,0,1,1
